id,title,set,url
26,Saryuja Skull Dread,Duel Devastator - Singles,https://static.cardmarket.com/img/bcd96b7439904264a487249fed24dccf/items/5/DUDE/402069.jpg
27,D.D. Crow,Duel Devastator - Singles,https://static.cardmarket.com/img/bcd96b7439904264a487249fed24dccf/items/5/DUDE/402349.jpg
28,Effect Veiler,Duel Devastator - Singles,https://static.cardmarket.com/img/bcd96b7439904264a487249fed24dccf/items/5/DUDE/402104.jpg
29,Gate Blocker,Duel Devastator - Singles,https://static.cardmarket.com/img/bcd96b7439904264a487249fed24dccf/items/5/DUDE/402359.jpg
30,Denko Sekka,Duel Devastator - Singles,https://static.cardmarket.com/img/bcd96b7439904264a487249fed24dccf/items/5/DUDE/402174.jpg
31,Inspector Boarder,Duel Devastator - Singles,https://static.cardmarket.com/img/bcd96b7439904264a487249fed24dccf/items/5/DUDE/402184.jpg
32,Spell Canceller,Duel Devastator - Singles,https://static.cardmarket.com/img/bcd96b7439904264a487249fed24dccf/items/5/DUDE/402179.jpg
33,Artifact Lancea,Duel Devastator - Singles,https://static.cardmarket.com/img/bcd96b7439904264a487249fed24dccf/items/5/DUDE/402124.jpg
34,Vanity's Fiend,Duel Devastator - Singles,https://static.cardmarket.com/img/bcd96b7439904264a487249fed24dccf/items/5/DUDE/402354.jpg
35,Majesty's Fiend,Duel Devastator - Singles,https://static.cardmarket.com/img/bcd96b7439904264a487249fed24dccf/items/5/DUDE/402119.jpg
36,Dinowrestler Pankratops,Duel Devastator - Singles,https://static.cardmarket.com/img/bcd96b7439904264a487249fed24dccf/items/5/DUDE/402109.jpg
38,Mind Control,Duel Devastator - Singles,https://static.cardmarket.com/img/bcd96b7439904264a487249fed24dccf/items/5/DUDE/402344.jpg
39,Wave-Motion Cannon,Duel Devastator - Singles,https://static.cardmarket.com/img/bcd96b7439904264a487249fed24dccf/items/5/DUDE/402339.jpg
40,Super Polymerization,Duel Devastator - Singles,https://static.cardmarket.com/img/bcd96b7439904264a487249fed24dccf/items/5/DUDE/402324.jpg
41,Book of Eclipse,Duel Devastator - Singles,https://static.cardmarket.com/img/bcd96b7439904264a487249fed24dccf/items/5/DUDE/402329.jpg
42,Silent Graveyard,Duel Devastator - Singles,https://static.cardmarket.com/img/bcd96b7439904264a487249fed24dccf/items/5/DUDE/402334.jpg
43,Cosmic Cyclone,Duel Devastator - Singles,https://static.cardmarket.com/img/bcd96b7439904264a487249fed24dccf/items/5/DUDE/402314.jpg
44,Called by the Grave,Duel Devastator - Singles,https://static.cardmarket.com/img/bcd96b7439904264a487249fed24dccf/items/5/DUDE/402319.jpg
45,Different Dimension Ground,Duel Devastator - Singles,https://static.cardmarket.com/img/bcd96b7439904264a487249fed24dccf/items/5/DUDE/402289.jpg
46,Typhoon,Duel Devastator - Singles,https://static.cardmarket.com/img/bcd96b7439904264a487249fed24dccf/items/5/DUDE/402284.jpg
47,Forbidden Apocrypha,Duel Devastator - Singles,https://static.cardmarket.com/img/bcd96b7439904264a487249fed24dccf/items/5/DUDE/402239.jpg
48,Dimensional Barrier,Duel Devastator - Singles,https://static.cardmarket.com/img/bcd96b7439904264a487249fed24dccf/items/5/DUDE/402309.jpg
49,Lost Wind,Duel Devastator - Singles,https://static.cardmarket.com/img/bcd96b7439904264a487249fed24dccf/items/5/DUDE/402304.jpg
50,Heavy Storm Duster,Duel Devastator - Singles,https://static.cardmarket.com/img/bcd96b7439904264a487249fed24dccf/items/5/DUDE/402294.jpg
51,Royal Decree,Duel Devastator - Singles,https://static.cardmarket.com/img/bcd96b7439904264a487249fed24dccf/items/5/DUDE/402229.jpg
52,Anti-Spell Fragrance,Duel Devastator - Singles,https://static.cardmarket.com/img/bcd96b7439904264a487249fed24dccf/items/5/DUDE/402234.jpg
53,There Can Be Only One,Duel Devastator - Singles,https://static.cardmarket.com/img/bcd96b7439904264a487249fed24dccf/items/5/DUDE/402219.jpg
54,Wiretap,Duel Devastator - Singles,https://static.cardmarket.com/img/bcd96b7439904264a487249fed24dccf/items/5/DUDE/402224.jpg
55,Solemn Strike,Duel Devastator - Singles,https://static.cardmarket.com/img/bcd96b7439904264a487249fed24dccf/items/5/DUDE/402214.jpg
56,Red Reboot,Duel Devastator - Singles,https://static.cardmarket.com/img/bcd96b7439904264a487249fed24dccf/items/5/DUDE/402209.jpg
1,Ghost Ogre & Snow Rabbit,Duel Devastator - Singles,https://static.cardmarket.com/img/bcd96b7439904264a487249fed24dccf/items/5/DUDE/402044.jpg
2,Ghost Reaper & Winter Cherries,Duel Devastator - Singles,https://static.cardmarket.com/img/bcd96b7439904264a487249fed24dccf/items/5/DUDE/402049.jpg
3,Ash Blossom & Joyous Spring,Duel Devastator - Singles,https://static.cardmarket.com/img/bcd96b7439904264a487249fed24dccf/items/5/DUDE/402364.jpg
4,Ghost Belle & Haunted Mansion,Duel Devastator - Singles,https://static.cardmarket.com/img/bcd96b7439904264a487249fed24dccf/items/5/DUDE/402054.jpg
5,Ghost Sister & Spooky Dogwood,Duel Devastator - Singles,https://static.cardmarket.com/img/bcd96b7439904264a487249fed24dccf/items/5/DUDE/402059.jpg
6,Red Blossoms from Underroot,Duel Devastator - Singles,https://static.cardmarket.com/img/bcd96b7439904264a487249fed24dccf/items/5/DUDE/402064.jpg
7,Ally of Justice Catastor,Duel Devastator - Singles,https://static.cardmarket.com/img/bcd96b7439904264a487249fed24dccf/items/5/DUDE/402134.jpg
9,Metaphys Horus,Duel Devastator - Singles,https://static.cardmarket.com/img/bcd96b7439904264a487249fed24dccf/items/5/DUDE/402154.jpg
10,Black Rose Dragon,Duel Devastator - Singles,https://static.cardmarket.com/img/bcd96b7439904264a487249fed24dccf/items/5/DUDE/402144.jpg
11,Clear Wing Fast Dragon,Duel Devastator - Singles,https://static.cardmarket.com/img/bcd96b7439904264a487249fed24dccf/items/5/DUDE/402159.jpg
12,Stardust Spark Dragon,Duel Devastator - Singles,https://static.cardmarket.com/img/bcd96b7439904264a487249fed24dccf/items/5/DUDE/402164.jpg
13,Scarlight Red Dragon Archfiend,Duel Devastator - Singles,https://static.cardmarket.com/img/bcd96b7439904264a487249fed24dccf/items/5/DUDE/402169.jpg
15,Vermillion Dragon Mech,Duel Devastator - Singles,https://static.cardmarket.com/img/bcd96b7439904264a487249fed24dccf/items/5/DUDE/402139.jpg
16,Abyss Dweller,Duel Devastator - Singles,https://static.cardmarket.com/img/bcd96b7439904264a487249fed24dccf/items/5/DUDE/402204.jpg
17,Number 101: Silent Honor ARK,Duel Devastator - Singles,https://static.cardmarket.com/img/bcd96b7439904264a487249fed24dccf/items/5/DUDE/402194.jpg
19,Tornado Dragon,Duel Devastator - Singles,https://static.cardmarket.com/img/bcd96b7439904264a487249fed24dccf/items/5/DUDE/402189.jpg
20,Underclock Taker,Duel Devastator - Singles,https://static.cardmarket.com/img/bcd96b7439904264a487249fed24dccf/items/5/DUDE/402099.jpg
21,LANphorhynchus,Duel Devastator - Singles,https://static.cardmarket.com/img/bcd96b7439904264a487249fed24dccf/items/5/DUDE/402094.jpg
23,Decode Talker,Duel Devastator - Singles,https://static.cardmarket.com/img/bcd96b7439904264a487249fed24dccf/items/5/DUDE/402084.jpg
24,Decode Talker Extended,Duel Devastator - Singles,https://static.cardmarket.com/img/bcd96b7439904264a487249fed24dccf/items/5/DUDE/402079.jpg
25,Topologic Bomber Dragon,Duel Devastator - Singles,https://static.cardmarket.com/img/bcd96b7439904264a487249fed24dccf/items/5/DUDE/402074.jpg
26,Saryuja Skull Dread,Duel Devastator - Singles,https://static.cardmarket.com/img/bcd96b7439904264a487249fed24dccf/items/5/DUDE/402069.jpg
27,D.D. Crow,Duel Devastator - Singles,https://static.cardmarket.com/img/bcd96b7439904264a487249fed24dccf/items/5/DUDE/402349.jpg
28,Effect Veiler,Duel Devastator - Singles,https://static.cardmarket.com/img/bcd96b7439904264a487249fed24dccf/items/5/DUDE/402104.jpg
